Genotype	Avg_Inbred_seed wieght	Avg_B73outcross_seed wieght	Avg_Mo17outcross_seed wieght	B73_seed wt	Mo17_seed wt	Avg_Inbred_cob g	Avg_B73outcross_cob g	Avg_Mo17outcross_cob g	B73_cob g	Mo17_cob g	Avg_Inbred_cob dia	Avg_B73outcross_cob dia	Avg_Mo17outcross_cob dia	B73_cob dia	Mo17_cob dia	Avg_Inbred_cob len	Avg_B73outcross_cob len	Avg_Mo17outcross_cob len	B73_cob len	Mo17_cob len	Avg_Inbred_ind seed(g)	Avg_B73outcross_ind seed(g)	Avg_Mo17outcross_ind seed(g)	B73_ind seed(g)	Mo17_ind seed(g)	Avg_Inbred_seed#	Avg_B73outcross_seed#	Avg_Mo17outcross_seed#	B73_seed#	Mo17_seed#	Avg_Inbred_hgt	Avg_B73outcross_hgt	Avg_Mo17outcross_hgt	B73_hgt	Mo17_hgt
B57	75.4	158.6	220.2	96.5	72.0	25.2	27.2	34.8	20.3	9.2	2.7	2.7	2.4	2.4	1.6	12.7	15.5	19.4	12.9	14.4	0.297979066	0.2483	0.303068056	0.25052	0.308666667	254.0141725	639.962395	725.5935574	385.9	234.5	173.5	297.8333333	306.8333333	218.1666667	223.6666667
B64			195.0	96.5	72.0			30.9	20.3	9.2			2.3	2.4	1.6			19.5	12.9	14.4	0.3006		0.360997872	0.25052	0.308666667	297.4051896		538.8565056	385.9	234.5			292	218.1666667	223.6666667
B68	36.8	172.1	172.7	96.5	72.0	18.8	26.0	21.6	20.3	9.2	2.1	2.4	2.2	2.4	1.6	16.5	17.4	18.4	12.9	14.4	0.20136	0.2935	0.3108	0.25052	0.308666667	168.5528172	587.9930669	548.548026	385.9	234.5	203.1666667	282.5	277.6666667	218.1666667	223.6666667
B73	96.5	47.4	154.5	96.5	72.0	20.3	12.7	18.1	20.3	9.2	2.4	2.3	2.1	2.4	1.6	12.9	10.1	15.5	12.9	14.4	0.25052	0.229368056	0.2896	0.25052	0.308666667	385.8976005	198.4417954	529.5451549	385.9	234.5	218.1666667	244.8333333	283.8333333	218.1666667	223.6666667
B73Htrhm	84.7	37.0	143.5	96.5	72.0	18.0	9.7	19.6	20.3	9.2	2.5	2.1	2.2	2.4	1.6	12.3	9.2	15.9	12.9	14.4	0.2005	0.20396	0.282433333	0.25052	0.308666667	412.1004309	184.2446741	506.2433651	385.9	234.5	233.8333333	254.5	294.6666667	218.1666667	223.6666667
B75	66.6	184.8	182.3	96.5	72.0	12.6	26.1	24.2	20.3	9.2	1.9	2.3	2.2	2.4	1.6	12.7	16.7	18.9	12.9	14.4	0.273633333	0.2842	0.3084	0.25052	0.308666667	243.5083273	648.7339296	593.0480373	385.9	234.5	215.3333333	301.3333333	267.8333333	218.1666667	223.6666667
B76	74.5	153.5	190.1	96.5	72.0	16.5	31.7	27.6	20.3	9.2	2.4	2.6	2.3	2.4	1.6	15.2	16.3	18.1	12.9	14.4	0.28400898	0.316653439	0.355680458	0.25052	0.308666667	264.4490806	485.6111291	534.0836667	385.9	234.5	204	280.5	303.8333333	218.1666667	223.6666667
B77	29.7	181.2	202.5	96.5	72.0	7.0	25.4	24.0	20.3	9.2	1.7	2.3	2.2	2.4	1.6	12.6	16.9	19.6	12.9	14.4	0.248171189	0.289133333	0.318391667	0.25052	0.308666667	129.1824284	630.993118	637.0969403	385.9	234.5	198.6666667	302.3333333	272.1666667	218.1666667	223.6666667
B79	70.46	173.2	195.1	96.5	72.0	19.44	28.7	20.6	20.3	9.2	2.96	2.7	2.4	2.4	1.6	14.24	16.0	18.2	12.9	14.4	0.26776	0.27842963	0.304666667	0.25052	0.308666667	264.8523195	622.3343336	641.2679207	385.9	234.5	218.5	290.5	286	218.1666667	223.6666667
B84	92.7	102.0	189.4	96.5	72.0	19.6	22.5	29.8	20.3	9.2	2.2	2.4	2.3	2.4	1.6	13.7	13.9	18.9	12.9	14.4	0.260133333	0.242466667	0.324558092	0.25052	0.308666667	356.0496773	422.4583849	574.222413	385.9	234.5	206.3333333	262.3333333	292.8333333	218.1666667	223.6666667
